Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,CONCEPTSTATUS,CTV3ID,RDF Schema Label,ISPRIMITIVE,PAR,RN,RO,Semantic_Type,SNOMEDID,SY,SYNONYM FN,SYNONYM IS,SYNONYM MTH_FN,SYNONYM MTH_PT,SYNONYM OF,SYNONYM SY,TUI,UMLS_CUI
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#275594002,North African Arab (NMO),,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#270464009,0,XM1SB,North African Arab (NMO),1,N African Arab/Iranian (NMO) (Id: 270464009),,N African Arab &/or Iranian (NMO) (Id: 186009007)|N African Arab &/or Iranian (NMO) (Id: 154186009),Population Group,F-0085C,,North African Arab (NMO) (ethnic group),,,,,,T098,C0554961
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#48294008,Solomon Islanders,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#18575005,0,XUEyV,Solomon Islanders,1,Oceanian (Id: 18575005),,,Population Group,S-65230,,Solomon Islanders (ethnic group),,,,,,T098,C0337932
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#81846005,Naiars,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#108342005,0,XULbS,Naiars,1,South Asian AND/OR Australian aborigine (Id: 108342005),,,Population Group,S-66060,,Naiars (ethnic group),,,,,,T098,C0337943
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#286009,Czechs,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#372148003,0,XUB0u,Czechs,1,Ethnic group (Id: 372148003),,,Population Group,S-61070,,Czechs (ethnic group),,,,,,T098,C0337799
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#1919006,Egyptians,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#372148003,0,XU8qN,Egyptians,1,Ethnic group (Id: 372148003),,,Population Group,S-61100,,Egyptians (ethnic group),,,,,,T098,C0337801
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#40165009,Buriats,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#24812003,0,XUDM5,Buriats,1,Mongoloid (Id: 24812003),,,Population Group,S-64050,,Buriats (ethnic group),,,,,,T098,C0337897
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#23517005,Polynesians,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#18575005,0,XUA08,Polynesians,1,Oceanian (Id: 18575005),,,Population Group,S-65200,Polynesian race (Id: 62693009),Polynesians (ethnic group),,,,,,T098,C0240790
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#66920001,Amerind,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#372148003,0,XUIeT,Amerind,1,Ethnic group (Id: 372148003),,,Population Group,S-63000,,Amerind (ethnic group),"Amerind, NOS",,,,,T098,C0337853
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#59487007,Syrians,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#372148003,0,XUHC3,Syrians,1,Ethnic group (Id: 372148003),,,Population Group,S-61330,,Syrians (ethnic group),,,,,,T098,C0337819
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#28409002,Spaniards,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#372148003,0,XUAyO,Spaniards,1,Ethnic group (Id: 372148003),,,Population Group,S-61300,,Spaniards (ethnic group),,,,,,T098,C0337817
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#413465009,Afro-Caribbean,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#372148003,0,XUcF0,Afro-Caribbean,1,Ethnic group (Id: 372148003),,,Population Group,S-00055,Race: Afro-Caribbean (Id: 160528005),Afro-Caribbean (ethnic group),,,,,,T098,C0814949
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#69865008,Fijian,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#18575005,0,9T19.,Fijian,1,Oceanian (Id: 18575005),,,Population Group,S-65050,Fijian (Id: 154221005),Fijian (ethnic group),Fijians,,,,,T098,C1556097
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#43056000,Cuna,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#66920001,0,XUDwl,Cuna,1,Amerind (Id: 66920001),,,Population Group,S-63150,,Cuna (ethnic group),,,,,,T098,C0337866
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#270462008,Black East African Asian/Indo-Caribbean,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#185989004,0,XE2Nv,Black East African Asian/Indo-Caribbean,1,"Black, other, non-mixed origin (Id: 185989004)",,Black E Afric Asia &/or Indo-Caribb (Id: 154171003)|Black E Afric Asia &/or Indo-Caribb (Id: 185994004),Population Group,F-0056C,,Black East African Asian/Indo-Caribbean (ethnic group),,,,,,T098,C0422777
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#88790004,Abyssinians (Amharas),,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#18167009,0,XUN2i,Abyssinians (Amharas),1,Black African (Id: 18167009),,,Population Group,S-62010,,Abyssinians (Amharas) (ethnic group),,,,,,T098,C0337825
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#32513008,Dyaks,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#24812003,0,XUBmo,Dyaks,1,Mongoloid (Id: 24812003),,,Population Group,S-64070,,Dyaks (ethnic group),,,,,,T098,C0337898
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#275597009,Indo-Caribbean (NMO),,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#270465005,0,XM1SE,Indo-Caribbean (NMO),1,E Afric Asian/Indo-Carib (NMO) (Id: 270465005),,E Afric Asian &/or Indo-Carib (NMO) (Id: 186011003)|E Afric Asian &/or Indo-Carib (NMO) (Id: 154188005),Population Group,F-0085F,,Indo-Caribbean (NMO) (ethnic group),,,,,,T098,C0554964
